"site","HH","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam001_180604",8,0.0244444444444444,0.09,0.194444444444444,0.416666666666667,0.0455555555555556,0.253333333333333
"s2lam001_180604",9,0.154444444444444,0.0811111111111111,0.174444444444444,0.137777777777778,0.0833333333333333,0.394444444444444
"s2lam001_180604",10,0.122222222222222,0.0432098765432099,0.425925925925926,0.0283950617283951,0.0617283950617284,0.367901234567901
"s2lam001_180604",11,0.096551724137931,0.101149425287356,0.420689655172414,0.00804597701149425,0.0517241379310345,0.359770114942529
"s2lam001_180604",12,0.136666666666667,0.03,0.563333333333333,0.00333333333333333,0.07,0.274444444444444
"s2lam001_180604",13,0.135632183908046,0.0333333333333333,0.536781609195402,0,0.0494252873563218,0.293103448275862
"s2lam001_180604",14,0.185555555555556,0.00333333333333333,0.468888888888889,0.00666666666666667,0.0744444444444444,0.307777777777778
"s2lam001_180604",15,0.141111111111111,0.0155555555555556,0.516666666666667,0.01,0.0844444444444444,0.284444444444444
"s2lam001_180604",16,0.146666666666667,0.0133333333333333,0.465555555555556,0.00888888888888889,0.0866666666666667,0.328888888888889
"s2lam001_180604",17,0.15,0.01,0.48,0.0244444444444444,0.04,0.331111111111111
"s2lam001_180604",18,0.09,0.0455555555555556,0.42,0.0411111111111111,0.0533333333333333,0.39
"s2lam001_180604",19,0.0588888888888889,0.0488888888888889,0.284444444444444,0.0722222222222222,0.11,0.474444444444444
"s2lam001_180604",20,0.0244444444444444,0.0566666666666667,0.478888888888889,0.106666666666667,0.12,0.274444444444444
"s2lam001_180604",21,0.0122222222222222,0.00666666666666667,0.44,0.171111111111111,0.0777777777777778,0.331111111111111
"s2lam001_180604",22,0.00333333333333333,0.00333333333333333,0.365555555555556,0.241111111111111,0.0766666666666667,0.35
"s2lam001_180604",23,0.0111111111111111,0.0333333333333333,0.221111111111111,0.342222222222222,0.00666666666666667,0.392222222222222
"s2lam001_180707",0,0.00476190476190476,0.0119047619047619,0.133333333333333,0.10952380952381,0,0.740476190476191
"s2lam001_180707",1,0,0.00833333333333333,0.0694444444444444,0.172222222222222,0,0.75
"s2lam001_180707",2,0,0.0111111111111111,0.0944444444444444,0.175,0,0.719444444444444
"s2lam001_180707",3,0.00555555555555556,0.0166666666666667,0.05,0.252777777777778,0,0.677777777777778
"s2lam001_180707",4,0,0.0194444444444444,0.0416666666666667,0.308333333333333,0,0.630555555555556
"s2lam001_180707",5,0.0333333333333333,0.241666666666667,0.05,0.1,0,0.575
"s2lam001_180707",6,0.00555555555555556,0.588888888888889,0.00555555555555556,0.05,0.00277777777777778,0.352777777777778
"s2lam001_180707",7,0.0305555555555556,0.630555555555556,0.00833333333333333,0.05,0,0.283333333333333
"s2lam001_180707",8,0.0777777777777778,0.433333333333333,0.0111111111111111,0.0333333333333333,0.00277777777777778,0.447222222222222
"s2lam001_180707",9,0.202777777777778,0.413888888888889,0.0194444444444444,0.025,0,0.341666666666667
